Nimi	DJ	EX	Kokku	PR	Syva	XP	Yldine	dj01	dj02	eksam	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Rauno	0	6524	34941	1635	1444	1444	25338	0	0	551	510	0	0	574	0	1100	393	995	0	108	730	993	976	90	565	3441	763	0	424	91	0	0	0	0	0	0	0	109	138	902	0	0	171	0	0	0	18347	576	635	0	315	246	385	734	79	0	0	0	106267
Kadri	194	62913	299817	17876	642	448	218386	180	14	3626	16	2065	1769	3374	2976	2476	3656	848	3291	4309	11382	3180	9256	8741	5590	20088	4821	753	353	1711	1071	230	0	0	181	0	0	1146	200	1330	320	1190	680	1570	831	1950	179562	6155	0	0	8478	0	161	0	127	33	4	123	900093
Ago	2380	122475	472967	42848	32694	30314	274950	2283	97	3504	2480	6494	3936	17806	5777	5096	19242	3921	8890	11301	8273	9482	6155	12661	3441	13663	55213	1492	19670	6226	6398	831	4492	2667	1360	199	616	5537	1338	8577	1838	1166	5718	1657	2329	1219	122053	29933	7468	1527	8627	11116	4920	2893	3213	3973	1400	2799	1451595
test9	424	19950	117961	8551	11271	10847	78189	424	0	702	410	180	41	1546	2843	436	1026	392	517	2666	1518	1757	2404	2097	2527	5717	6331	2053	1419	141	1268	0	0	560	359	38	203	294	314	908	124	432	607	899	612	1204	53370	5188	1590	0	1997	1898	606	6356	463	199	1128	197	365154
MajorMoopsy	0	13575	53594	7421	2288	2288	30310	0	0	0	0	2132	317	5535	2594	1224	1509	83	0	0	0	181	0	0	0	0	6395	137	661	2	3414	55	0	3187	2542	173	30	1284	94	0	0	0	0	0	0	0	15202	2818	1626	0	111	716	679	893	0	0	0	0	163070
Vallavanem	145	4633	13947	922	1492	1347	6900	145	0	0	0	0	0	910	0	0	651	143	0	182	862	583	210	672	420	10	1729	0	0	0	588	0	0	0	0	0	0	381	0	541	0	0	0	0	0	0	4431	142	0	0	0	98	579	670	0	0	0	0	43333
Mikk	0	31526	77117	5027	2131	2131	38433	0	0	0	0	1755	933	0	480	459	2995	189	1386	5237	2004	1392	7580	5362	1754	3754	2597	132	0	347	825	0	0	0	151	0	0	0	139	1163	247	70	0	406	989	1703	29178	1472	128	0	159	579	168	783	601	0	0	0	233482
Sebastian	593	16998	159226	8492	3934	3341	129802	593	0	1758	376	510	1336	915	26	2185	2113	992	2047	1591	1184	294	2264	830	711	7355	14719	288	9806	44	1035	0	0	0	912	0	497	1708	272	4247	98	91	35	113	350	107	86883	6423	1115	0	62	3304	35	0	2	0	0	0	481612
Kristjan	2580	25872	75611	6577	14036	11456	29126	2580	0	0	76	517	546	2634	2602	314	1511	1934	629	1482	329	2984	3861	4827	1702	4594	1648	176	85	76	575	49	0	0	0	0	0	560	181	1408	95	221	778	1156	567	186	19701	1123	1023	0	1425	5085	3865	2402	70	5	3	26	240869
Piret	1464	18803	67795	4104	4601	3137	40287	1464	0	1288	287	0	0	210	0	0	2070	45	5209	0	0	1285	4038	4765	1181	6881	3496	0	75	0	0	0	0	0	0	0	0	2075	0	1306	0	0	0	0	204	519	27184	1073	3	0	0	0	921	0	0	0	0	2216	207986
Helin	0	2588	74914	1882	1211	1211	69233	0	0	55	0	301	0	538	163	0	144	0	0	665	122	375	0	280	0	3831	8114	0	4909	0	4877	161	0	52	0	0	0	915	0	443	0	0	0	0	472	0	45277	400	1609	0	0	1211	0	0	0	0	0	0	225953
236460404446855168	437	9989	25908	6669	6293	5856	2957	0	437	0	0	206	0	0	623	462	317	0	3095	668	521	1786	255	1452	604	16	503	0	0	0	0	337	0	0	0	0	0	194	0	140	95	0	628	110	711	52	1386	345	370	0	4739	58	434	1394	332	1904	745	989	84017
Elvar	73	22682	113980	11089	519	446	79690	0	73	0	1141	479	0	354	0	0	0	616	2093	70	1493	3932	4920	5231	3494	10191	5466	0	84	433	993	0	0	398	0	0	0	706	0	617	1610	71	326	879	224	1264	59471	1598	313	0	4994	102	72	163	0	0	48	61	342459
moth	0	7662	27607	1010	2694	2694	16241	0	0	0	0	1012	333	2403	226	144	0	0	109	0	542	532	2294	0	67	117	3533	0	0	0	81	0	0	190	30	0	0	0	0	0	0	116	0	0	49	572	11148	603	759	0	53	65	1774	6	0	413	3	433	85515
TankerElite	0	16733	25765	861	184	184	7987	0	0	0	210	144	0	0	933	176	2738	794	967	4607	51	1671	3467	1185	0	739	806	64	0	0	981	71	0	74	0	0	0	0	0	291	57	270	168	0	0	0	4455	627	34	0	1	0	0	0	32	148	4	0	77479
